symbol,date,open,close,high,low,volume,position,month,day
frfi,2022-05-12,140.09,136.16,140.72,135.84,445691,602813,5,12
frfi,2022-05-13,137.88,137.91,140.19,137.36,533729,597082,5,13
frfi,2022-05-16,138.78,140.16,140.28,138.51,389953,583405,5,16
frfi,2022-05-17,140.61,142.3,143.42,140.45,436237,564421,5,17
frfi,2022-05-18,141.83,139.25,141.83,139.16,371525,570338,5,18
frfi,2022-05-19,137.2,139.62,139.85,136.49,393971,578732,5,19
frfi,2022-05-20,140.69,139.94,140.98,139.26,355472,565312,5,20
frfi,2022-05-23,140.98,141.03,142.53,140.39,478928,562057,5,23
frfi,2022-05-24,141.15,141.32,143.28,141.15,444145,543661,5,24
frfi,2022-05-25,142.08,141.86,142.37,140.11,361105,536762,5,25
frfi,2022-05-26,141.04,139.17,141.66,138.54,445885,556477,5,26
frfi,2022-05-27,140.89,142.73,143.22,140.84,482900,542653,5,27
frfi,2022-05-30,144.31,144.85,145.16,143.26,417533,540928,5,30
frfi,2022-05-31,145.87,145.38,146.54,145.01,358910,540668,5,31
frfi,2022-06-01,144.59,146.57,146.82,143.37,409325,524764,6,1
frfi,2022-06-02,146.3,147.51,147.71,145.81,369121,524893,6,2
frfi,2022-06-06,147.86,147.59,148.3,146.61,308431,525495,6,6
frfi,2022-06-07,147.81,149.44,149.65,147.14,327397,528006,6,7
frfi,2022-06-08,149.88,153.99,154.09,149.38,450801,569532,6,8
frfi,2022-06-09,154.12,152.27,155.93,152.1,504376,579526,6,9
frfi,2022-06-10,152.27,152.7,153.23,149.77,389576,568731,6,10
frfi,2022-06-13,150.81,146.65,151.11,145.79,519316,551819,6,13
frfi,2022-06-14,145.93,143.6,146.51,142.76,432271,559177,6,14
frfi,2022-06-15,142.79,140.78,143.63,140.68,392368,570333,6,15
frfi,2022-06-16,142.05,139.17,142.75,139.13,393652,570904,6,16
frfi,2022-06-17,137.94,136.62,138.37,136.55,420606,605365,6,17
frfi,2022-06-20,134.87,132.02,134.87,130.23,588268,626039,6,20
frfi,2022-06-21,133.26,131.73,134.29,131.7,441163,614410,6,21
frfi,2022-06-22,131.54,129.89,132.03,129.39,427723,640212,6,22
frfi,2022-06-23,131.49,131.73,132.39,129.88,439623,623570,6,23
frfi,2022-06-24,130.51,130.54,131.23,129.22,410303,626717,6,24
frfi,2022-06-27,131.89,134.45,134.86,131.88,473902,593130,6,27
frfi,2022-06-28,134.24,135.69,135.8,132.04,391630,589041,6,28
frfi,2022-06-29,135.85,135.41,136.27,134.37,349787,579124,6,29
frfi,2022-06-30,135.3,133.42,135.3,132.72,413510,597143,6,30
frfi,2022-07-01,131.91,132.07,133.5,131.23,428706,597350,7,1
frfi,2022-07-04,129.44,128.25,129.76,125.12,561136,677654,7,4
frfi,2022-07-05,129.61,127.69,129.93,127.54,387121,665628,7,5
frfi,2022-07-06,126.76,130.3,130.8,125.56,551884,674213,7,6
frfi,2022-07-07,129.78,128.65,130.63,128.01,409658,673864,7,7
frfi,2022-07-08,130.21,129.92,131.77,129.16,419873,675652,7,8
frfi,2022-07-11,127.66,128.67,129.67,127.11,448914,673781,7,11
frfi,2022-07-12,128.14,126.22,128.74,125.92,479982,714370,7,12
frfi,2022-07-13,125.64,123.23,125.64,122.3,500375,725464,7,13
frfi,2022-07-14,123.52,121.08,123.97,121.05,370943,732538,7,14
frfi,2022-07-15,117.43,116.77,118.82,115.36,530616,754404,7,15
frfi,2022-07-18,119.12,119.8,119.91,116.95,429199,730150,7,18
frfi,2022-07-19,120.85,119.41,121.65,118.72,423821,720724,7,19
frfi,2022-07-20,120.19,122.32,122.85,120.07,466480,701583,7,20
frfi,2022-07-21,121.58,120.45,122.51,120.05,301485,687128,7,21
frfi,2022-07-22,120.3,121.66,122.12,119.89,353971,694451,7,22
frfi,2022-07-25,122.34,118.77,123.62,118.57,474848,715666,7,25
frfi,2022-07-26,118.26,121.5,121.72,118.19,402842,703381,7,26
frfi,2022-07-27,121.23,122.42,122.85,119.13,530831,702136,7,27
